timestamp,roll,pitch,yaw,latitude,longitude,altitude,velocity,temperature,pressure
2025-10-11 14:20:43,0,0,0,0,0,0,0.0,0,0
2025-10-11 14:20:44,0,0,0,0,0,0,0.0,0,0
2025-10-11 14:20:45,0,0,0,0,0,0,0.0,0,0
2025-10-11 14:20:46,0,0,0,0,0,0,0.0,0,0
2025-10-11 14:20:47,0,0,0,0,0,0,0.0,0,0
2025-10-11 14:20:48,0,0,0,0,0,0,0.0,0,0
2025-10-11 14:20:49,0,0,0,0,0,0,0.0,0,0
2025-10-11 14:20:50,0,0,0,0,0,0,0.0,0,0
2025-10-11 14:20:51,0,0,0,0,0,0,0.0,0,0
2025-10-11 14:20:52,0,0,0,0,0,0,0.0,0,0
2025-10-11 14:20:57,0,0,0,0,0,0,0.0,0,0
2025-10-11 14:20:58,0,0,0,0,0,0,0.0,0,0
2025-10-11 14:20:59,0,0,0,0,0,0,0.0,0,0
2025-10-11 14:21:00,0,0,0,0,0,0,0.0,0,0
2025-10-11 14:21:01,0,0,0,0,0,0,0.0,0,0
2025-10-11 14:21:02,0,0,0,0,0,0,0.0,0,0
2025-10-11 14:21:03,0,0,0,0,0,0,0.0,0,0
2025-10-11 14:21:04,0,0,0,0,0,0,0.0,0,0
2025-10-11 14:21:05,0,0,0,0,0,0,0.0,0,0
2025-10-11 14:21:11,0,0,0,0,0,0,0.0,0,0
2025-10-11 14:21:12,0,0,0,0,0,0,0.0,0,0
2025-10-11 14:21:13,0,0,0,0,0,0,0.0,0,0
2025-10-11 14:21:14,0,0,0,0,0,0,0.0,0,0
2025-10-11 14:21:15,0,0,0,0,0,0,0.0,0,0
2025-10-11 14:21:16,0,0,0,0,0,0,0.0,0,0
2025-10-11 14:21:17,0,0,0,0,0,0,0.0,0,0
2025-10-11 14:21:18,0,0,0,0,0,0,0.0,0,0
2025-10-11 14:21:19,0,0,0,0,0,0,0.0,0,0
2025-10-11 14:21:20,0,0,0,0,0,0,0.0,0,0
2025-10-11 14:21:24,0,0,0,0,0,0,0.0,0,0
2025-10-11 14:21:25,0,0,0,0,0,0,0.0,0,0
2025-10-11 14:21:26,0,0,0,0,0,0,0.0,0,0
2025-10-11 14:21:27,0,0,0,0,0,0,0.0,0,0
2025-10-11 14:21:28,0,0,0,0,0,0,0.0,0,0
2025-10-11 14:21:29,0,0,0,0,0,0,0.0,0,0
2025-10-11 14:21:30,0,0,0,0,0,0,0.0,0,0
2025-10-11 14:21:31,0,0,0,0,0,0,0.0,0,0
2025-10-11 14:21:32,0,0,0,0,0,0,0.0,0,0
2025-10-11 14:21:37,0,0,0,0,0,0,0.0,0,0
2025-10-11 14:21:38,0,0,0,0,0,0,0.0,0,0
2025-10-11 14:21:39,0,0,0,0,0,0,0.0,0,0
2025-10-11 14:21:40,0,0,0,0,0,0,0.0,0,0
2025-10-11 14:21:41,0,0,0,0,0,0,0.0,0,0
2025-10-11 14:21:42,0,0,0,0,0,0,0.0,0,0
2025-10-11 14:21:43,0,0,0,0,0,0,0.0,0,0
2025-10-11 14:21:44,0,0,0,0,0,0,0.0,0,0
2025-10-11 14:21:45,0,0,0,0,0,0,0.0,0,0
2025-10-11 14:21:46,0,0,0,0,0,0,0.0,0,0
2025-10-11 14:21:47,0,0,0,0,0,0,0.0,0,0
2025-10-11 14:21:52,0,0,0,0,0,0,0.0,0,0
2025-10-11 14:21:53,0,0,0,0,0,0,0.0,0,0
2025-10-11 14:21:54,0,0,0,0,0,0,0.0,0,0
2025-10-11 14:21:55,0,0,0,0,0,0,0.0,0,0
2025-10-11 14:21:56,0,0,0,0,0,0,0.0,0,0
2025-10-11 14:21:57,0,0,0,0,0,0,0.0,0,0
2025-10-11 14:21:58,0,0,0,0,0,0,0.0,0,0
2025-10-11 14:21:59,0,0,0,0,0,0,0.0,0,0
2025-10-11 14:22:05,0,0,0,0,0,0,0.0,0,0
2025-10-11 14:22:06,0,0,0,0,0,0,0.0,0,0
2025-10-11 14:22:07,0,0,0,0,0,0,0.0,0,0
2025-10-11 14:22:08,0,0,0,0,0,0,0.0,0,0
2025-10-11 14:22:09,0,0,0,0,0,0,0.0,0,0
2025-10-11 14:22:10,0,0,0,0,0,0,0.0,0,0
2025-10-11 14:22:11,0,0,0,0,0,0,0.0,0,0
2025-10-11 14:22:12,0,0,0,0,0,0,0.0,0,0
2025-10-11 14:22:13,0,0,0,0,0,0,0.0,0,0
2025-10-11 14:26:23,0,0,0,0,0,0,0.0,0,0
2025-10-11 14:26:24,0,0,0,0,0,0,0.0,0,0
2025-10-11 14:26:25,0,0,0,0,0,0,0.0,0,0
2025-10-11 14:26:26,0,0,0,0,0,0,0.0,0,0
2025-10-11 14:26:27,0,0,0,0,0,0,0.0,0,0
2025-10-11 14:26:28,0,0,0,0,0,0,0.0,0,0
2025-10-11 14:26:29,0,0,0,0,0,0,0.0,0,0
2025-10-11 14:26:30,0,0,0,0,0,0,0.0,0,0
